¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;hex;227.3552295;155.8004626;28.27776809;0.491781806;37.33211643;14.75916209;23.2735227;-0.551044657;35.64959783;15.47354281;0.097479016;32.01775887;-14.05165464;-3.141592642;17.5529082;20.29959788
1;sf;357.1017812;393.4282079;12.45849288;-1.407573466;12.54528593;12.05566459;6.735083181;-0.225541391;12.52152064;11.61752306;0.118602698;-11.01376133;10.95121384;-1.015611491;10.83960455;12.13086292
2;sf;130.9224806;49.89612403;12.09031075;-0.209492468;13.49368501;10.73417397;6.354785515;-0.000524214;12.31621421;11.09183079;-0.251407416;10.93200216;-10.24905518;-1.117417227;-10.50896707;11.67205959
3;sf;731.9135104;523.2845741;19.72304815;1.710697057;22.08549344;17.47370321;11.17042868;1.517720429;20.49088475;17.94638666;2.74076533;17.82197718;16.53218811;7.5592361;-17.07753596;18.80804313
4;sf;676.7755656;758.4393665;19.91391187;1.679675858;21.83946498;15.65823638;12.4574045;1.461374886;20.65249934;16.8056506;2.340048106;18.21349146;15.31889912;7.13491343;-16.19288381;18.75249933
5;sf;717.5830212;555.1697878;13.62754569;-0.318587383;15.32783973;11.00777416;8.693766594;0.193443066;14.15754033;12.14847431;-1.502329037;12.28006641;-11.1234385;-20.15985566;-11.55177659;13.15754033
6;sf;550.2246998;476.5324471;19.77027241;1.918960191;21.03924622;17.47845571;12.69403173;1.620116574;20.00724615;18.44790074;-0.089923649;17.69537722;17.44752826;-5.210309711;17.27044739;19.25724615
7;sf;442.7775089;531.8133269;18.92443169;1.497554581;21.42854626;15.59409452;11.59375323;1.674959165;19.88887703;16.77697631;1.498147039;16.13553525;16.0239699;-4.029283249;15.65191088;17.91046793
8;sf;521.4324324;314.2666667;19.63159756;-2.213938858;21.54937313;17.2387299;10.23856841;-1.295524281;19.2417539;17.82818882;0.302301863;17.25590264;-16.4995568;-3.962509634;-17.25325387;18.47032533
9;sf;634.5047661;622.5434814;19.64587981;1.58603482;22.13831984;17.49320252;10.25201297;1.489191688;19.85003706;18.0888456;2.876215281;17.53830696;16.5288689;-6.034468712;17.01914929;18.85003706
10;sf;1026.348408;785.8423103;18.49434618;2.003827773;21.11063017;14.82397638;11.77071756;1.249812157;19.81337199;15.69234006;-0.705593816;17.41821139;14.69952979;0.223080491;-15.81680633;17.63707754
11;sf;341.3010083;691.4446916;19.69295315;-1.6297622;22.33541933;17.06677414;10.62705083;-1.3921467;20.32479611;17.51450213;-2.046087068;17.47745546;-16.43320233;5.069258243;16.71973885;18.78633457
12;sf;607.8608748;545.8440066;19.56413585;-1.181374995;21.82296308;16.56559751;12.68359315;-1.839346057;20.26917047;17.31656933;-1.944033139;17.63436707;-16.01560872;11.36424938;-16.87859136;18.63492263
13;sf;660.4535056;718.8703209;19.57273195;-1.903401761;21.61215195;17.98332097;9.95195037;-1.520591165;19.2106599;18.48978357;-1.248705284;16.63904933;-16.83295545;-2.40017855;17.29675964;18.80724048
14;sf;145.236522;254.81476;18.69050575;-1.532724064;20.12177158;16.66112803;10.1793126;-1.014480525;18.7472127;17.26567297;-3.649513605;16.09693276;-15.65882241;-10.11156925;15.998722;18.00175816
15;sf;295.2741138;528.9725199;20.45087039;1.262492767;22.0416641;17.16421877;13.1246964;1.556390701;20.92860714;18.31012979;0.463225575;16.78408876;18.53107643;-0.081619158;17.65775124;19.76148227
16;sf;908.3655151;646.7576905;18.97568616;1.854923404;21.70147115;16.31527166;10.98742435;1.223796212;20.0494637;16.87891474;3.510353894;15.84819967;16.48059219;2.044067285;16.15658067;18.4894637
17;sf;706.8609155;487.9515845;19.86600239;1.653319059;22.44376838;17.1611646;10.48647467;1.492933771;20.2576798;17.79078454;2.3110206;17.70978299;16.94159631;-2.084129756;16.90232037;18.97196551
18;sf;340.1431949;119.6619385;18.35552635;-1.570909498;20.12680554;15.83081634;10.9884019;-1.594786401;18.75457203;16.78147339;4.055329097;16.37728984;-15.37099669;10.21513509;15.79561643;17.722826
19;sf;1102.034038;682.849939;20.08811878;2.187211648;23.85340616;15.11265156;13.01045646;0.999372953;21.65133254;15.91823135;2.100615434;16.65423231;17.64004443;-7.971254847;15.30164363;18.37440947
20;sf;808.4193735;414.3867475;20.10590644;1.464478342;21.38125917;17.48135866;11.5868451;1.351181586;20.23630225;18.33202423;-0.245519013;17.70011635;15.97617328;-11.835915;17.23339095;19.26895938
21;sf;76.62719117;311.4916494;20.09365449;-2.16890462;22.45515969;18.07649025;10.53528797;-0.879021879;20.35359883;18.77644183;0.102715869;17.82366793;-17.11552851;-2.830116105;17.48203425;19.66760025
22;sf;183.9661252;323.3284742;20.22126679;-2.07490292;21.65090666;18.05472436;11.4503534;-1.231904251;20.15806479;18.90694313;-2.007747742;17.39538169;-17.56388538;-3.355005566;17.50641517;19.64445834
23;sf;518.6877542;120.5190541;19.55269008;-1.308245606;21.01233323;16.71897413;11.06574911;-1.59211485;19.72016765;17.61762098;-2.677792595;17.02650926;-16.20044562;-0.37581901;16.49569797;18.52649749
24;sf;312.5659209;161.994231;19.96922744;-2.568160279;21.5323731;18.48978473;10.66140726;-1.045911056;19.81996457;19.01258662;0.784366172;18.25276375;-17.53911014;-0.085805923;17.79919351;19.38885345
25;sf;914.3705942;406.1569558;20.03305351;2.103987586;21.9906639;16.78128223;12.26743596;1.05978027;20.24195402;18.11943091;2.81741602;18.1625241;16.23067937;4.388937131;16.87469853;19.29195402
26;sf;982.9085487;115.344334;20.69582852;-0.096936168;22.63478119;18.52422236;11.02209292;-0.264623905;20.57291015;19.30916916;-1.768815164;18.07891092;17.75947694;5.965058729;-17.93766072;20.05854234
