¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r;
0;cub;393.7611605;92.07669679;36.80670553;-2.852879696;33.00542537;30.27266188;30.64407157;-0.687978591;35.63536746;31.94789636;-0.472269565;31.81235168;-30.28015236;-0.53298467;31.31711763;33.92108176;
1;cub;335.901497;108.4992572;23.24535104;-1.320099716;22.26784371;17.8125377;18.69203371;-1.863070937;23.18928838;19.11744791;-2.033189445;20.94170084;-17.63337693;4.229750562;18.41157595;21.68928838;
2;hex;719.1948846;115.6779;26.66866636;-0.293412661;32.13351513;11.67287961;23.89500048;0.270083233;32.25711963;12.43916763;0.084368464;28.51149865;11.63235398;-1.76E-09;-16.06552003;16.51162439;
3;sf;675.6313932;162.152984;24.13106651;0.216693357;25.09569316;20.88620894;14.18628249;0.294438471;24.6353601;21.62694672;0.733960867;21.94707487;19.59646;0.2888732;20.26349875;22.79465102;
4;hex;846.7973236;347.3922642;22.64995128;1.891734655;28.87776434;12.38961761;17.34810603;1.260169655;27.12066128;12.97402098;2.392443285;24.1306527;12.17828076;-8.922147953;16.11083472;16.62860432;
5;hex;719.2588769;517.1474212;30.8634001;2.240376228;39.30823105;11.85629954;26.40092669;0.927878487;39.03739511;12.53652662;-0.557769097;33.6570505;11.75619519;-0.46789678;14.91921808;16.50614533;
6;hex;740.3181145;198.7182597;29.90036339;0.14052525;41.43398816;14.06380203;26.35485163;-0.183803972;40.27128248;14.38585267;-0.213660388;33.84178314;-13.84206849;-12.43268581;20.13803313;20.41370673;
7;hex;87.23470964;449.8508622;26.36373169;-0.611909592;33.89539779;12.10687554;21.24578444;0.62075138;32.25131179;12.79878547;-0.208467647;28.06819979;11.89913758;1.151007107;16.73154389;17.14473799;
8;hex;913.4856702;441.0345026;23.05425772;-0.602383993;23.33887347;21.70823497;12.64558065;-0.742318963;22.83032769;21.81168015;-0.200935274;19.9811517;-20.15311148;-4.889791919;20.0966751;22.48737897;
9;hex;585.6525596;506.2867802;29.93540774;-0.040058805;33.51585497;11.4124391;27.48284109;0.034278038;34.17759949;11.99882549;0.307275831;31.52826714;11.41072021;1.570796315;16.70149698;16.78366029;
10;hex;298.6800715;629.4101019;28.06899276;-2.264618121;33.76409862;12.24411738;24.65818134;-0.884160886;33.54813782;12.71345642;-5.724140269;29.98764446;-12.26814548;-3.036231553;13.34337857;16.73103685;
11;sf;328.6111111;346.6480186;12.1660009;-1.774667472;13.3508453;10.75608584;6.397696177;-1.435201826;12.15163382;11.31011129;0.61547105;10.48363753;-10.52256958;-0.472320617;10.44111701;11.7314059;
12;sf;255.4769585;794.578341;8.675185247;1.24467557;8.693482544;8.202555764;4.269533771;0.603492564;8.898052895;7.867200822;2.697425192;7.472845487;7.286964323;-2.004127139;7.389399729;8.407704616;
13;sf;449.7752235;284.7381865;9.455990573;1.37645052;9.559205211;8.734079592;5.443344928;0.904919885;9.58449103;8.664668599;0.938517067;-8.501844415;7.92456825;0.619648312;-8.242573664;9.02318717;
14;sf;320.2478853;579.9168459;19.8490833;-1.356614509;21.04845719;18.54286099;10.36830032;-0.955221379;19.94805766;18.67214036;-3.055011172;18.05696875;-16.79111315;-4.50780284;16.96397122;19.2361529;
15;sf;231.1232896;831.2292284;20.32852561;-2.01227025;21.89073253;16.44684627;13.28852955;-1.049597463;20.90530927;17.66535525;-2.773099805;18.85605062;-15.96679104;-2.730052039;16.93441051;19.35046163;
16;sf;89.41798384;598.4106077;18.29752369;0.68255059;20.49903362;15.03908892;11.20191378;-0.647663163;18.96182204;15.80046609;-1.16169629;15.3264309;-16.10793168;2.938043935;15.06902534;17.58201616;
17;sf;236.8627636;56.08498584;18.9835188;-0.188777673;21.2291998;16.95987876;9.744228804;-0.227838166;19.47737818;17.36246928;-1.795361171;16.27553774;-16.8397164;0.215564683;-16.39386313;18.35237818;
