¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;sf;761.514245;781.0754986;12.67741999;0.200867805;13.0503332;11.455229;7.636607182;1.000160238;12.03665089;12.38748144;-0.429383729;10.84726806;11.15188111;10.27063375;-11.16161824;12.1966179
1;sf;1138.175339;64.87254902;12.25380859;0.231103281;12.93796146;11.22568152;6.777770694;0.813307671;11.9566191;11.71027554;-0.334231874;-10.55061798;10.92244248;2.798584643;10.6863126;11.84968756
2;sf;448.7486339;30.8003643;12.4309013;-0.666011328;14.11583907;10.65845984;7.338969666;0.678344371;13.06819588;11.12175427;0.341719167;11.49821909;10.40745075;-3.872096016;10.96579329;11.97132967
3;sf;1132.737179;408.7028658;12.28753826;0.588458156;12.85101898;10.75535912;7.930781931;-0.632544574;12.15315109;11.45914855;1.426270659;10.98333028;10.53840454;1.404527237;10.59180032;11.91561443
4;sf;1065.333333;425.6593194;12.31062808;0.096671926;13.22260017;10.70398609;6.619749854;0.329093974;12.3721612;11.09141705;-1.478925402;-9.783133229;-11.02338677;2.764479618;-10.34297498;11.84836477
5;sf;96.32971014;394.1224638;12.47893718;-0.110200846;13.43068806;11.11733781;7.170389615;0.21033237;12.53693203;11.70431527;0.126650285;10.93129461;10.58281885;10.34209684;10.74301859;12.26562521
6;sf;833.2553792;187.2871252;12.68162277;0.205923338;13.98167884;11.60462866;6.687822042;-0.221765417;12.53370251;12.02155408;-0.066039445;-11.18828679;10.98207217;-2.442641817;11.12449181;12.26153984
7;sf;864.800843;31.39234282;12.72518038;-0.891109583;12.83741246;11.55089424;7.59367909;0.349207908;12.74497348;12.12224819;-0.208394788;10.62785858;11.11850178;3.092317202;10.92693166;12.30966341
8;sf;926.4394103;154.8586839;12.46392264;0.110095396;13.48392653;11.22874345;6.964918994;0.067769949;12.45644086;11.78268179;-0.459611576;11.13669247;-10.48623278;-1.883090407;10.86282681;12.12776953
9;sf;266.2299899;172.9233367;12.84159384;-0.068977812;14.41703719;11.52379821;6.822459746;-0.17531491;13.21400927;11.89516769;-0.225135975;11.71628908;-10.76422175;-0.730316311;-11.26158381;12.51269279
10;sf;424.48125;764.0118056;12.73452737;0.178109409;13.81941616;11.5689159;6.872400539;-0.323453597;12.58577101;12.08796976;0.435283783;11.25934548;10.96780889;1.779620079;-11.18712968;12.47441118
11;sf;722.1136131;653.3261685;12.81880721;0.031005557;13.82752135;11.23024178;8.00753861;0.077479058;13.04031274;12.02762132;0.250554042;11.34297411;10.84863039;15.09064795;-11.10185904;12.47976587
12;sf;441.218633;715.9115169;11.08762348;0.194369362;11.71108869;9.573801929;6.569400397;-0.29415546;11.09749477;10.14561965;-0.241311281;-9.708665809;9.192494533;13.85197533;9.460471269;10.59003705
13;sf;692.9989518;108.5740741;12.71788594;-0.792004613;13.12489416;11.7490479;7.558702983;-0.58935088;12.5937456;12.06465361;-0.136791123;11.61532595;-11.19494444;-6.1741774;11.18174152;12.34559022
14;sf;293.3699521;846.618412;12.97503321;-1.957398565;13.68095491;11.40061512;7.654503134;-0.832476227;12.79475875;12.04082586;-6.009214679;11.86563802;-10.95255177;3.288106978;-11.36664009;12.45514765
15;sf;649.8400566;44.485138;12.82651135;-0.541347954;13.01584775;11.10954078;8.079384484;-0.01994867;12.93081379;11.64540355;-1.168589668;11.16842058;-10.50923944;-0.183317597;10.77516512;12.24178578
16;sf;726.0703576;839.2575932;12.28333301;1.159766673;12.54119239;10.97210617;7.229403714;0.381111305;11.79023467;11.6277773;0.110149258;10.74599372;-10.57456243;3.479689901;10.3721063;11.68573707
17;sf;734.0690501;802.8219418;12.70221866;-0.941590162;12.68830455;12.12060347;7.092626846;-0.222849273;12.79869962;11.85703589;-1.756989206;11.17419809;-11.52553766;-1.708206399;11.31617479;12.31221313
18;sf;892.8315603;173.0464539;12.7208662;-0.541822808;13.12872508;11.31049011;7.93537204;-0.132479356;12.61057629;11.80932859;-0.173134482;-10.94456504;-11.27211202;-12.31998702;11.0176587;12.17673014
19;sf;337.2059562;450.7972731;12.61227728;-0.885306962;12.79889212;11.33206306;7.421650233;-0.093605144;12.76989248;11.68779795;-0.222294568;10.80297454;-10.85266709;-12.78144222;10.76906287;12.06686217
20;sf;793.9959058;770.3265097;12.73884032;-0.233000294;14.53614858;12.01599248;6.492384765;-0.022295278;12.73112322;12.22479276;-0.296740292;11.39281014;-11.35600297;-28.02948951;-11.35447878;12.39425631
21;sf;1120.448988;382.0132399;12.17232238;2.126783387;12.95036288;10.44640589;7.716164352;1.162638655;12.19191479;11.10777324;0.866265981;10.25939033;11.2828625;4.30589237;10.33518093;11.67202842
22;sf;714.1294463;281.5779245;12.38589003;-0.23658424;13.0475709;10.99915934;7.087231585;-0.038652786;12.35794745;11.64257476;-1.087374303;-10.39432574;-11.19482347;-4.158989699;-10.7615252;11.99218168
23;sf;525.4503358;805.9349593;12.59364558;-1.12398847;13.18893301;11.57144549;6.962151763;-0.48691303;12.40585022;12.07570944;0.116176606;10.92607341;-10.90579612;-11.25946471;10.88142515;12.25411226
24;sf;617.8658059;46.26917058;12.05187718;-1.276820953;12.20151326;10.67077026;7.763904211;-0.921434468;11.66854005;11.48417013;-2.658960982;10.44695479;-10.51633853;0.946226344;-10.55205628;11.55842558
25;sf;585.6288814;762.3916947;12.34817219;1.057751516;12.85743801;11.64763147;6.231007174;0.027609816;12.14175075;11.66006599;1.004871041;11.00083231;10.67491914;4.439488882;10.60877045;11.91032218
26;sf;89.7649388;148.050036;12.52396907;-1.19936118;13.16260664;11.30815753;7.230761816;0.354696082;12.32005683;11.87457092;-0.497333297;11.10305851;-10.56052375;-5.83678157;-10.85940757;12.08882138
27;sf;351.7233468;425.7995951;12.96390734;-0.115414583;13.91268171;11.59905935;7.130558224;-0.183153505;12.91964875;12.16986747;-1.036608792;11.48999725;-10.90110434;5.359060127;11.16633181;12.66809931
28;sf;847.5670498;837.8108673;12.84401672;3.007452395;13.19683337;11.8160826;6.920206768;1.095382563;12.44531121;12.07624818;1.993879695;11.07460961;11.22900776;-1.139718043;11.1563403;12.24581847
