¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;cub;82.99138541;238.9088601;40.33263991;0.116522919;35.20105263;27.78907085;34.04839694;-0.043818683;38.71801167;29.91851598;0.785729115;34.97176261;27.78182929;2.479671792;30.38425557;35.27014052
1;cub;123.8762124;365.7907423;39.25696373;1.163825537;33.01516028;26.65655528;32.30541151;1.790402077;35.64876393;28.40573506;-1.29463368;32.75336413;26.65655559;11.28854097;28.95512481;33.09320833
2;cub;172.1418304;422.0877389;36.3882442;1.357427675;35.97723533;23.31485093;31.97076373;1.864364846;37.91876858;24.94022678;-4.320191784;33.67548304;23.31485086;0.555556112;24.65269627;32.07028375
3;cub;493.7652189;568.2325001;25.29577372;-2.963376103;20.87382592;20.58638882;18.76912894;-1.301125252;22.84621404;21.93907712;4.176467373;20.57852069;-20.1360487;1.000900107;20.24384215;22.40176959
4;cub;963.4501898;197.4235286;21.80006447;0.693662604;16.68737426;18.112709;14.86710261;0.827287285;20.13349139;17.79219311;-0.150241644;18.06260214;16.28076854;6.179971175;17.06551925;19.35571361
5;cub;1040.967804;56.1269467;33.64577411;-1.641687031;40.92073121;28.65175354;7.100454003;-1.679246153;33.46337885;25.99121564;4.561874849;-27.91290187;25.12423706;-3.354965139;26.26693443;28.94254552
6;cub;576.041316;409.8567559;24.23052316;0.467676872;18.09724747;18.13301552;18.93492406;0.008576162;21.1009519;19.23846757;1.243472873;18.51996927;18.13048752;7.541169651;18.39865945;20.2805235
7;cub;326.8866017;657.5716938;35.88483889;-0.799658828;32.11772372;24.84773987;30.61309636;0.633146277;34.75232249;26.73810666;-0.159087621;31.74855103;24.90847526;-6.411413592;27.18146772;31.84323159
8;cub;964.5871529;316.128025;25.41358878;-0.831652826;17.784816;21.45225205;17.49521132;-0.708757158;23.46464857;19.0404704;0.038446611;21.45450932;-17.73448901;-0.092023399;18.55887189;21.75872193
9;cub;239.8770841;589.2225595;24.10441271;0.823632309;18.56626365;18.86708576;19.1016245;1.593930649;22.3643669;18.93963032;1.634213325;18.55997628;18.43344165;-6.220337815;18.58333471;20.38256604
10;cub;731.8024398;286.3441211;22.74998442;-1.695238706;20.25041673;17.69737218;18.02380697;-0.983156917;21.95999597;19.00803677;-2.425676994;19.6149128;-17.75779238;-0.878746299;18.80523887;20.60864451
11;cub;935.2057889;271.4950435;47.58934923;-2.346093808;43.41969562;29.22930118;40.85809882;-0.855480325;46.86781498;31.07753823;-1.738122752;29.22929873;-42.00195882;-1.795195795;34.65262183;40.85771392
12;cub;530.1179487;350.0729218;32.88850548;-0.803947772;24.23060215;28.39691737;21.96262681;-0.703417774;30.42504501;25.77290846;-3.058657249;28.33685152;-23.25302847;4.630934679;24.58255544;28.71801376
13;cub;392.3567626;436.0370949;46.65119802;2.294255687;43.51569859;31.85722566;40.21538615;0.945383217;47.22203708;34.12627066;1.656739863;31.84097516;42.57796659;1.48675795;33.6302725;42.80345681
14;cub;175.5866739;829.9915354;25.29786264;-2.286568815;21.53184756;19.34487328;18.27211583;-0.355470789;23.10334923;21.44954622;-1.54651765;19.25589663;-20.86453843;1.530817644;20.38016841;22.08692117
15;cub;501.632128;768.1106822;67.07917209;-0.380150431;54.67518323;55.31391376;46.37889131;-0.704450161;63.26486145;53.68994938;0.353876372;54.43022598;-52.30306646;-1.229397429;52.59830748;58.15548647
16;cub;492.818771;680.4860819;25.82456304;1.375131122;24.34587753;20.79939622;19.47119913;1.690364084;25.1990417;21.91320144;-1.074304903;22.62276213;20.59309719;-0.970019577;21.12462558;23.93023475
17;cub;269.1919047;659.3153542;20.34617862;2.428931303;19.57832497;14.93791996;16.46961206;0.858770537;20.34872271;15.96421615;6.249311242;18.53174898;14.9395842;1.749018938;16.6275729;18.7805409
18;cub;677.7096077;180.9272146;19.8346173;1.4841247;17.64307283;13.80875094;16.13554179;1.534664429;19.2123841;14.69802792;-4.114581338;16.93516641;13.81272338;-8.751579472;-14.43456726;17.44731364
19;cub;243.7312096;91.30429733;28.05194827;0.407631486;21.59208132;21.69377022;24.88759257;-0.687397002;24.16757487;23.67222269;-1.964732821;22.40693389;21.69377031;2.764997247;21.96367441;23.97046319
20;cub;363.401452;799.2741239;20.79535834;1.544599403;17.41413211;17.557539;16.22120196;1.062982164;18.95249361;18.89899202;0.740917147;17.56563567;16.84620396;-0.810914996;17.34887089;18.92540845
21;cub;277.7173422;606.5945065;23.19224072;-2.320823274;23.409499;18.0359317;15.58303474;-0.921914119;22.60455869;19.11455391;-6.198137954;19.78434753;-17.8409255;-6.214240472;18.43327043;21.1478895
