¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;hex;1061.555731;64.05819254;27.54074425;0.17034059;35.73880889;13.32776664;24.06103481;-0.176304059;34.26960111;13.9923062;-0.223980101;30.49066232;-13.22499163;9.681234424;18.82559634;18.57729337
1;hex;1112.097769;93.87468871;27.81618028;-0.340433341;32.00386842;12.327704;22.69114091;0.303921768;31.92483343;13.17966518;0.089108626;27.97580249;12.16514603;4.578704183;17.36510509;17.62483331
2;hex;984.1522997;286.0811702;26.70317157;0.541124457;36.03951357;14.10733982;20.90609765;-0.543645197;33.38440183;14.98011509;0.1069485;29.50259976;-13.74619972;-1.27627371;18.17087309;19.20979756
3;hex;886.7110643;132.773;31.17103191;0.497306975;37.41856065;15.5713346;26.43258803;-0.474453278;37.73983843;16.39397682;0.115793606;33.23515325;-15.28239186;-4.007133487;21.10731167;21.5176164
4;hex;782.9943238;615.3155777;30.01014664;0.179767102;36.65252272;12.07603936;26.74885242;-0.178371728;36.46887803;13.27145037;-0.16861669;33.14791707;-12.06515783;-4.712388961;17.77201795;17.99335311
5;hex;459.8771125;382.2983639;29.6462609;-0.737041852;37.94959974;14.84643197;24.80082244;0.755329454;36.47026853;15.85627093;-0.288514705;33.05201737;14.78560853;8.206609383;18.43271081;21.03949933
6;hex;595.1820306;616.4572725;33.58083905;0.216550287;38.41641853;13.77991672;31.79452076;-0.21116925;40.65047914;14.51578938;-0.159702014;34.87936182;-13.77991658;-12.43814233;19.3451091;19.72740209
7;hex;100.8267848;367.0520731;28.98037391;-0.260059833;35.98507547;13.22694374;19.08402147;0.289005623;34.32026761;13.67044682;0.104687578;30.30397592;12.74998919;6.283185305;17.30962545;18.5424895
8;hex;268.0725166;573.5340317;30.77921949;-0.649371348;39.59403018;16.22596906;24.14487952;0.665531249;37.12895154;16.86221547;-0.220220322;32.22171165;15.69041659;0.865540833;22.08675654;22.37895133
9;hex;65.4371277;302.0851897;31.61253851;-1.746556975;38.77522079;15.69423724;23.34752273;-1.398088501;37.63766863;16.3353576;0.928468394;31.334716;-15.49731336;2.663524197;19.58607903;21.19096563
10;hex;841.318191;475.9043004;28.37929325;2.108594839;34.56253667;14.15013315;23.78264954;1.03572877;34.34936882;14.30823278;-0.581094595;29.55765913;13.91676933;-1.069478344;-18.55319652;18.45263467
11;hex;926.4623977;504.9395619;25.7513387;0.401856641;37.98563803;13.68219183;28.42038135;-0.404820785;38.12617395;14.40067892;0.019629721;34.4309616;-13.46336333;0.256456534;19.18614414;19.84976813
12;hex;208.985187;375.3452638;35.61013058;-2.121391243;40.39512758;14.41201899;30.88821782;-1.023551353;40.55504926;14.92062291;6.923586536;36.20214066;-14.30104101;0.668423966;18.30626462;19.46873346
13;res;311.8985464;832.1035765;30.47790142;0.256516612;35.38022365;10.78909601;32.45844045;-0.251145737;38.05451478;11.89603994;-0.048728109;34.2410741;-10.78909646;2.668584648;12.15289245;16.07281073
14;hex;989.2142807;338.0053572;25.66530567;1.993138969;28.94157906;13.45307653;20.11652738;1.188145948;28.16058343;13.75720716;-3.830548613;25.76930382;13.2399431;-5.113443351;14.27426339;17.91891701
15;res;1053.694949;571.6112967;25.35843739;0.227698011;32.7157928;7.434631786;22.4401899;-0.209080002;31.54306347;7.914378511;-0.035559039;29.77640187;-7.375632521;-6.283185269;10.89667393;11.01439767
16;hex;334.9036583;783.887359;27.7116963;-1.894870583;33.63125399;13.80403028;24.32760336;-1.15656234;34.33700537;14.1989089;0.82102944;13.81202983;29.53647392;1.817966365;-16.02972706;19.36811668
17;res;311.4798648;747.6119763;31.87616438;-2.546515168;49.49217684;8.387258014;18.34240872;-0.603130314;40.52733012;8.574302114;0.426785198;36.9402863;-8.014792306;-4.405983143;11.30721717;12.06787655
18;hex;972.7708295;591.9874038;26.2179119;-1.984291698;32.55949404;12.01293584;22.06313178;-1.169711205;31.8207805;12.89585267;0.741835558;28.35008018;-11.77317108;-0.224399481;16.34479283;16.61149598
19;hex;868.6111114;736.9140963;28.01059703;1.696370891;34.03652037;13.14668365;26.81678517;1.442440811;34.81821411;13.76940653;13.85514514;31.05561095;-13.01229551;-4.103304689;16.24218009;18.4496243
20;res;1028.799657;566.2358222;26.30244058;-1.967322163;32.69728171;7.811974112;26.06265004;-1.148116968;33.35236967;8.013662235;-2.23167455;28.68022574;-7.81679747;1.346396853;-10.27332156;10.97212206
21;res;310.1219369;776.5660877;34.84949059;-1.972770963;36.30093286;7.166307216;29.07130474;0.415066982;7.300685655;38.47722765;-5.386249622;31.86766207;-7.152826317;-2.30810889;9.483565182;10.07846311
22;hex;834.1807776;742.5746835;32.19451134;-0.282123714;35.24314841;10.6302217;26.84860479;-2.865795373;36.11408425;11.04418759;0.039624294;31.89093522;10.63022117;2.436337168;-13.59992462;15.25627627
23;hex;1003.554473;576.8311419;27.93450571;2.201323979;32.33631216;8.623296034;18.46897193;0.92561694;31.36674498;8.853951463;8.806975219;26.87508037;8.526282111;13.53558534;11.200831;12.0241525
